File1,File2,Similarity Score
17.html,18.html,0.4000815153121948
17.html,19.html,0.26237916946411133
17.html,2.html,0.4834853708744049
17.html,20.html,0.3588756322860718
17.html,21.html,0.20318792760372162
17.html,22.html,0.32835328578948975
17.html,23.html,0.12869316339492798
17.html,24.html,0.21610966324806213
17.html,25.html,0.36449941992759705
17.html,26.html,0.3172868490219116
17.html,27.html,0.35990315675735474
17.html,28.html,0.13215218484401703
17.html,29.html,0.296278715133667
17.html,3.html,0.5771761536598206
17.html,30.html,0.6740438342094421
17.html,31.html,0.40658998489379883
17.html,32.html,0.4552462100982666
17.html,33.html,0.49203288555145264
17.html,34.html,0.5578057765960693
17.html,35.html,0.20007523894309998
17.html,36.html,0.2605665326118469
17.html,37.html,0.6439245343208313
17.html,38.html,0.37905287742614746
17.html,39.html,0.22515881061553955
17.html,4.html,0.4334228038787842
17.html,40.html,0.40105172991752625
17.html,41.html,0.45909246802330017
17.html,5.html,0.2362164556980133
17.html,6.html,0.2694981098175049
17.html,7.html,0.10742884129285812
17.html,8.html,0.34232431650161743
17.html,9.html,0.5321487188339233
18.html,19.html,0.31550368666648865
18.html,2.html,0.44629523158073425
18.html,20.html,0.2938182055950165
18.html,21.html,0.5306606292724609
18.html,22.html,0.38244110345840454
18.html,23.html,0.37438344955444336
18.html,24.html,0.5054850578308105
18.html,25.html,0.6573482155799866
18.html,26.html,0.7848925590515137
18.html,27.html,0.3134591579437256
18.html,28.html,0.4358486533164978
18.html,29.html,0.6833032965660095
18.html,3.html,0.4308565855026245
18.html,30.html,0.5396834015846252
18.html,31.html,0.5590001940727234
18.html,32.html,0.4886013865470886
18.html,33.html,0.311014324426651
18.html,34.html,0.6032960414886475
18.html,35.html,0.39440029859542847
18.html,36.html,0.16576912999153137
18.html,37.html,0.5180181264877319
18.html,38.html,0.8527114987373352
18.html,39.html,0.37502604722976685
18.html,4.html,0.5276025533676147
18.html,40.html,0.8611835837364197
18.html,41.html,0.5736695528030396
18.html,5.html,0.47369080781936646
18.html,6.html,0.5256259441375732
18.html,7.html,0.2840418219566345
18.html,8.html,0.5339613556861877
18.html,9.html,0.30388888716697693
19.html,2.html,0.22375835478305817
19.html,20.html,0.2595091462135315
19.html,21.html,0.1806449592113495
19.html,22.html,0.5102404356002808
19.html,23.html,0.2857919931411743
19.html,24.html,0.4611254632472992
19.html,25.html,0.3863568902015686
19.html,26.html,0.3160887360572815
19.html,27.html,0.26917344331741333
19.html,28.html,0.1308448612689972
19.html,29.html,0.24555093050003052
19.html,3.html,0.36324459314346313
19.html,30.html,0.3429640829563141
19.html,31.html,0.37097710371017456
19.html,32.html,0.4793504476547241
19.html,33.html,0.3404000997543335
19.html,34.html,0.3769373893737793
19.html,35.html,0.31245747208595276
19.html,36.html,0.35773175954818726
19.html,37.html,0.22789746522903442
19.html,38.html,0.35940682888031006
19.html,39.html,0.3185873329639435
19.html,4.html,0.23849239945411682
19.html,40.html,0.3540438413619995
19.html,41.html,0.31856346130371094
19.html,5.html,0.3140522837638855
19.html,6.html,0.3889574408531189
19.html,7.html,0.25825566053390503
19.html,8.html,0.27758148312568665
19.html,9.html,0.18669120967388153
2.html,20.html,0.11846452206373215
2.html,21.html,0.41272827982902527
2.html,22.html,0.3375173807144165
2.html,23.html,0.2409048080444336
2.html,24.html,0.2522692084312439
2.html,25.html,0.3059839904308319
2.html,26.html,0.3442952632904053
2.html,27.html,0.3154802620410919
2.html,28.html,0.4459800720214844
2.html,29.html,0.3964952230453491
2.html,3.html,0.32527655363082886
2.html,30.html,0.7195452451705933
2.html,31.html,0.36578965187072754
2.html,32.html,0.3890972137451172
2.html,33.html,0.5278395414352417
2.html,34.html,0.40742212533950806
2.html,35.html,0.39272642135620117
2.html,36.html,0.06448795646429062
2.html,37.html,0.5123032331466675
2.html,38.html,0.471712589263916
2.html,39.html,0.16344764828681946
2.html,4.html,0.2269727736711502
2.html,40.html,0.42230379581451416
2.html,41.html,0.5455248951911926
2.html,5.html,0.21540316939353943
2.html,6.html,0.25860440731048584
2.html,7.html,0.32460474967956543
2.html,8.html,0.3529655635356903
2.html,9.html,0.40469032526016235
20.html,21.html,0.18153801560401917
20.html,22.html,0.219220831990242
20.html,23.html,0.38770633935928345
20.html,24.html,0.3952062129974365
20.html,25.html,0.37306496500968933
20.html,26.html,0.31626826524734497
20.html,27.html,0.28420454263687134
20.html,28.html,0.22976642847061157
20.html,29.html,0.24543604254722595
20.html,3.html,0.45502591133117676
20.html,30.html,0.3290027379989624
20.html,31.html,0.31314945220947266
20.html,32.html,0.4714241623878479
20.html,33.html,0.27874529361724854
20.html,34.html,0.3975738286972046
20.html,35.html,0.10367725789546967
20.html,36.html,0.4061380624771118
20.html,37.html,0.32949596643447876
20.html,38.html,0.31080949306488037
20.html,39.html,0.2293928861618042
20.html,4.html,0.3112519085407257
20.html,40.html,0.3907797932624817
20.html,41.html,0.3809208869934082
20.html,5.html,0.24674704670906067
20.html,6.html,0.25536447763442993
20.html,7.html,0.3500855565071106
20.html,8.html,0.21128377318382263
20.html,9.html,0.42425674200057983
21.html,22.html,0.35914990305900574
21.html,23.html,0.30319711565971375
21.html,24.html,0.28311291337013245
21.html,25.html,0.5146698355674744
21.html,26.html,0.515181839466095
21.html,27.html,0.2633190155029297
21.html,28.html,0.29469746351242065
21.html,29.html,0.6309378147125244
21.html,3.html,0.22159460186958313
21.html,30.html,0.3882959485054016
21.html,31.html,0.39265817403793335
21.html,32.html,0.2573932409286499
21.html,33.html,0.13753432035446167
21.html,34.html,0.385027140378952
21.html,35.html,0.34374070167541504
21.html,36.html,0.09108678251504898
21.html,37.html,0.3725000023841858
21.html,38.html,0.6193732023239136
21.html,39.html,0.1967838555574417
21.html,4.html,0.34768158197402954
21.html,40.html,0.4838511645793915
21.html,41.html,0.5554578304290771
21.html,5.html,0.23486077785491943
21.html,6.html,0.4150843620300293
21.html,7.html,0.3927752673625946
21.html,8.html,0.3002103567123413
21.html,9.html,0.10272730886936188
22.html,23.html,0.3595975339412689
22.html,24.html,0.38344407081604004
22.html,25.html,0.49568966031074524
22.html,26.html,0.4440273344516754
22.html,27.html,0.3055329918861389
22.html,28.html,0.23840606212615967
22.html,29.html,0.4274872839450836
22.html,3.html,0.3188946843147278
22.html,30.html,0.42531776428222656
22.html,31.html,0.504697859287262
22.html,32.html,0.41415026783943176
22.html,33.html,0.3169901967048645
22.html,34.html,0.3349405825138092
22.html,35.html,0.5036872625350952
22.html,36.html,0.37620216608047485
22.html,37.html,0.2046227753162384
22.html,38.html,0.4549383819103241
22.html,39.html,0.3758024275302887
22.html,4.html,0.37793076038360596
22.html,40.html,0.4949228763580322
22.html,41.html,0.4829121530056
22.html,5.html,0.36296939849853516
22.html,6.html,0.5217595100402832
22.html,7.html,0.2018362283706665
22.html,8.html,0.37076348066329956
22.html,9.html,0.25583282113075256
23.html,24.html,0.4792696237564087
23.html,25.html,0.337686687707901
23.html,26.html,0.2826179563999176
23.html,27.html,0.09857093542814255
23.html,28.html,0.3633415699005127
23.html,29.html,0.31546545028686523
23.html,3.html,0.2943210005760193
23.html,30.html,0.32601532340049744
23.html,31.html,0.30101659893989563
23.html,32.html,0.41729623079299927
23.html,33.html,0.21660318970680237
23.html,34.html,0.2864248752593994
23.html,35.html,0.30220896005630493
23.html,36.html,0.28849226236343384
23.html,37.html,0.06465021520853043
23.html,38.html,0.35402995347976685
23.html,39.html,0.17776943743228912
23.html,4.html,0.2073659896850586
23.html,40.html,0.4093714952468872
23.html,41.html,0.19309131801128387
23.html,5.html,0.31383588910102844
23.html,6.html,0.4022301435470581
23.html,7.html,0.3641003370285034
23.html,8.html,0.14904002845287323
23.html,9.html,0.3653848171234131
24.html,25.html,0.6116498112678528
24.html,26.html,0.5016058683395386
24.html,27.html,0.08997153490781784
24.html,28.html,0.26399943232536316
24.html,29.html,0.4911312460899353
24.html,3.html,0.3419734537601471
24.html,30.html,0.34327232837677
24.html,31.html,0.3726919889450073
24.html,32.html,0.5591830611228943
24.html,33.html,0.2953071892261505
24.html,34.html,0.4699879586696625
24.html,35.html,0.3039690852165222
24.html,36.html,0.3991207182407379
24.html,37.html,0.19233232736587524
24.html,38.html,0.5326247215270996
24.html,39.html,0.34520283341407776
24.html,4.html,0.2733239531517029
24.html,40.html,0.524645209312439
24.html,41.html,0.38754427433013916
24.html,5.html,0.37507882714271545
24.html,6.html,0.6331627368927002
24.html,7.html,0.408419668674469
24.html,8.html,0.28268370032310486
24.html,9.html,0.36355429887771606
25.html,26.html,0.6651504635810852
25.html,27.html,0.2786610424518585
25.html,28.html,0.18291613459587097
25.html,29.html,0.7867403626441956
25.html,3.html,0.31951767206192017
25.html,30.html,0.3662453293800354
25.html,31.html,0.47296637296676636
25.html,32.html,0.48529648780822754
25.html,33.html,0.2201235592365265
25.html,34.html,0.5809851884841919
25.html,35.html,0.25689369440078735
25.html,36.html,0.2180379331111908
25.html,37.html,0.3977178633213043
25.html,38.html,0.7585462927818298
25.html,39.html,0.26030126214027405
25.html,4.html,0.37461626529693604
25.html,40.html,0.6255232095718384
25.html,41.html,0.49062004685401917
25.html,5.html,0.32124707102775574
25.html,6.html,0.6293646097183228
25.html,7.html,0.37443292140960693
25.html,8.html,0.36146312952041626
25.html,9.html,0.23532015085220337
26.html,27.html,0.37497997283935547
26.html,28.html,0.4228896498680115
26.html,29.html,0.6661876440048218
26.html,3.html,0.34691721200942993
26.html,30.html,0.3397309184074402
26.html,31.html,0.6817835569381714
26.html,32.html,0.40371227264404297
26.html,33.html,0.23200011253356934
26.html,34.html,0.47051090002059937
26.html,35.html,0.4742526412010193
26.html,36.html,0.22160440683364868
26.html,37.html,0.4587126076221466
26.html,38.html,0.6899861097335815
26.html,39.html,0.5426747798919678
26.html,4.html,0.6039339303970337
26.html,40.html,0.807942271232605
26.html,41.html,0.6176055669784546
26.html,5.html,0.6384584903717041
26.html,6.html,0.5584208369255066
26.html,7.html,0.31053218245506287
26.html,8.html,0.6333328485488892
26.html,9.html,0.23195835947990417
27.html,28.html,0.38345369696617126
27.html,29.html,0.2831941545009613
27.html,3.html,0.24087223410606384
27.html,30.html,0.3846273124217987
27.html,31.html,0.41189223527908325
27.html,32.html,0.3345440626144409
27.html,33.html,0.19254443049430847
27.html,34.html,0.3117659091949463
27.html,35.html,0.16630683839321136
27.html,36.html,0.2114678919315338
27.html,37.html,0.41366660594940186
27.html,38.html,0.3606540262699127
27.html,39.html,0.3859425187110901
27.html,4.html,0.35324913263320923
27.html,40.html,0.4152292013168335
27.html,41.html,0.4699767231941223
27.html,5.html,0.354095458984375
27.html,6.html,0.23307526111602783
27.html,7.html,0.18753692507743835
27.html,8.html,0.3207876682281494
27.html,9.html,0.09226757287979126
28.html,29.html,0.2684718370437622
28.html,3.html,0.19950726628303528
28.html,30.html,0.36160731315612793
28.html,31.html,0.3546115458011627
28.html,32.html,0.3062170743942261
28.html,33.html,0.22100797295570374
28.html,34.html,0.3330945372581482
28.html,35.html,0.42094624042510986
28.html,36.html,0.1360524594783783
28.html,37.html,0.3360579013824463
28.html,38.html,0.31835120916366577
28.html,39.html,0.4366387724876404
28.html,4.html,0.2867323160171509
28.html,40.html,0.4358360767364502
28.html,41.html,0.42590391635894775
28.html,5.html,0.553680419921875
28.html,6.html,0.2733520269393921
28.html,7.html,0.2116384655237198
28.html,8.html,0.3687363862991333
28.html,9.html,0.2710443139076233
29.html,3.html,0.20955795049667358
29.html,30.html,0.3786524832248688
29.html,31.html,0.3934156596660614
29.html,32.html,0.3336363434791565
29.html,33.html,0.13348279893398285
29.html,34.html,0.4899190068244934
29.html,35.html,0.32838237285614014
29.html,36.html,0.16373369097709656
29.html,37.html,0.3939705193042755
29.html,38.html,0.8004124164581299
29.html,39.html,0.3076823949813843
29.html,4.html,0.3344346880912781
29.html,40.html,0.5892152786254883
29.html,41.html,0.43600794672966003
29.html,5.html,0.292221337556839
29.html,6.html,0.6560283899307251
29.html,7.html,0.3868911862373352
29.html,8.html,0.33290010690689087
29.html,9.html,0.11401854455471039
3.html,30.html,0.5213294625282288
3.html,31.html,0.48584413528442383
3.html,32.html,0.5891807079315186
3.html,33.html,0.7221067547798157
3.html,34.html,0.4465526044368744
3.html,35.html,0.24797198176383972
3.html,36.html,0.28019312024116516
3.html,37.html,0.4197319746017456
3.html,38.html,0.39885061979293823
3.html,39.html,0.30048346519470215
3.html,4.html,0.45866233110427856
3.html,40.html,0.5206623077392578
3.html,41.html,0.5028738975524902
3.html,5.html,0.29963329434394836
3.html,6.html,0.2596205770969391
3.html,7.html,0.22512425482273102
3.html,8.html,0.3866168260574341
3.html,9.html,0.5834915637969971
30.html,31.html,0.34692639112472534
30.html,32.html,0.46405449509620667
30.html,33.html,0.4728351831436157
30.html,34.html,0.5297449827194214
30.html,35.html,0.28898340463638306
30.html,36.html,0.2673509120941162
30.html,37.html,0.5469918251037598
30.html,38.html,0.5274560451507568
30.html,39.html,0.22655341029167175
30.html,4.html,0.3419587314128876
30.html,40.html,0.514178454875946
30.html,41.html,0.5574057102203369
30.html,5.html,0.2550079822540283
30.html,6.html,0.35333943367004395
30.html,7.html,0.18442657589912415
30.html,8.html,0.30967971682548523
30.html,9.html,0.47088536620140076
31.html,32.html,0.49694716930389404
31.html,33.html,0.4638214111328125
31.html,34.html,0.48696446418762207
31.html,35.html,0.5468089580535889
31.html,36.html,0.26284927129745483
31.html,37.html,0.32755130529403687
31.html,38.html,0.4827791154384613
31.html,39.html,0.5321658849716187
31.html,4.html,0.7315405607223511
31.html,40.html,0.6837278008460999
31.html,41.html,0.6910427808761597
31.html,5.html,0.5685873031616211
31.html,6.html,0.4537011384963989
31.html,7.html,0.2115555703639984
31.html,8.html,0.7412879467010498
31.html,9.html,0.3116927146911621
32.html,33.html,0.627419114112854
32.html,34.html,0.6501858234405518
32.html,35.html,0.3011540174484253
32.html,36.html,0.3474860191345215
32.html,37.html,0.3938273787498474
32.html,38.html,0.5288026332855225
32.html,39.html,0.2583329677581787
32.html,4.html,0.3370509147644043
32.html,40.html,0.529504656791687
32.html,41.html,0.48385345935821533
32.html,5.html,0.287413626909256
32.html,6.html,0.4544377326965332
32.html,7.html,0.3460748493671417
32.html,8.html,0.2656298279762268
32.html,9.html,0.5865955352783203
33.html,34.html,0.4374140501022339
33.html,35.html,0.30068257451057434
33.html,36.html,0.24283042550086975
33.html,37.html,0.41505566239356995
33.html,38.html,0.3205661177635193
33.html,39.html,0.22474971413612366
33.html,4.html,0.34183263778686523
33.html,40.html,0.34948867559432983
33.html,41.html,0.4461135268211365
33.html,5.html,0.21768224239349365
33.html,6.html,0.13350018858909607
33.html,7.html,0.3155784010887146
33.html,8.html,0.37817472219467163
33.html,9.html,0.6613988280296326
34.html,35.html,0.24092471599578857
34.html,36.html,0.1594761312007904
34.html,37.html,0.5390931367874146
34.html,38.html,0.5890902876853943
34.html,39.html,0.2738196849822998
34.html,4.html,0.47274160385131836
34.html,40.html,0.5703853368759155
34.html,41.html,0.5696724653244019
34.html,5.html,0.33327192068099976
34.html,6.html,0.4164690673351288
34.html,7.html,0.21236780285835266
34.html,8.html,0.4306720495223999
34.html,9.html,0.41416293382644653
35.html,36.html,0.23691651225090027
35.html,37.html,0.25485366582870483
35.html,38.html,0.35457566380500793
35.html,39.html,0.5260351896286011
35.html,4.html,0.4627351760864258
35.html,40.html,0.45202070474624634
35.html,41.html,0.4193592667579651
35.html,5.html,0.4360775351524353
35.html,6.html,0.457562118768692
35.html,7.html,0.31472229957580566
35.html,8.html,0.5135352611541748
35.html,9.html,0.245265930891037
36.html,37.html,0.17289093136787415
36.html,38.html,0.1978224217891693
36.html,39.html,0.24192216992378235
36.html,4.html,0.30330991744995117
36.html,40.html,0.2555369734764099
36.html,41.html,0.17125146090984344
36.html,5.html,0.17386524379253387
36.html,6.html,0.31387603282928467
36.html,7.html,0.2320805788040161
36.html,8.html,0.1600729525089264
36.html,9.html,0.2584325671195984
37.html,38.html,0.4977053999900818
37.html,39.html,0.2814381718635559
37.html,4.html,0.3872705101966858
37.html,40.html,0.41274234652519226
37.html,41.html,0.4935600757598877
37.html,5.html,0.27608197927474976
37.html,6.html,0.22715842723846436
37.html,7.html,0.33635905385017395
37.html,8.html,0.336332231760025
37.html,9.html,0.45764777064323425
38.html,39.html,0.331928014755249
38.html,4.html,0.3767518401145935
38.html,40.html,0.7864295244216919
38.html,41.html,0.5632363557815552
38.html,5.html,0.3249528408050537
38.html,6.html,0.6189684271812439
38.html,7.html,0.41513073444366455
38.html,8.html,0.4230145812034607
38.html,9.html,0.26410651206970215
39.html,4.html,0.48321273922920227
39.html,40.html,0.4412449598312378
39.html,41.html,0.4453786611557007
39.html,5.html,0.6904958486557007
39.html,6.html,0.5257064700126648
39.html,7.html,0.19884870946407318
39.html,8.html,0.5299095511436462
39.html,9.html,0.1587001234292984
4.html,40.html,0.5904254913330078
4.html,41.html,0.5688753128051758
4.html,5.html,0.4984472990036011
4.html,6.html,0.3644920587539673
4.html,7.html,0.1613481491804123
4.html,8.html,0.7238678336143494
4.html,9.html,0.2973242998123169
40.html,41.html,0.7084684371948242
40.html,5.html,0.5285141468048096
40.html,6.html,0.5259466171264648
40.html,7.html,0.2753306031227112
40.html,8.html,0.6198794841766357
40.html,9.html,0.2929188907146454
41.html,5.html,0.4878425598144531
41.html,6.html,0.42252111434936523
41.html,7.html,0.29639625549316406
41.html,8.html,0.5778847932815552
41.html,9.html,0.29701125621795654
5.html,6.html,0.3755325973033905
5.html,7.html,0.08466149866580963
5.html,8.html,0.5463186502456665
5.html,9.html,0.21470484137535095
6.html,7.html,0.3625568747520447
6.html,8.html,0.34132111072540283
6.html,9.html,0.21866875886917114
7.html,8.html,0.15388910472393036
7.html,9.html,0.30374449491500854
8.html,9.html,0.22736233472824097
